,CL105_NS_Run18_0815_trimmed.result,CL146_NS_Run18_0815_trimmed.result,CL152_NS_Run18_0815_trimmed.result,CL154_NS_Run18_0815_trimmed.result,CL156_NS_Run18_0815_trimmed.result,CL162_NS_Run18_0815_trimmed.result,CL164_NS_Run18_0815_trimmed.result,CL167_trimmed.result,CL172_NS_Run18_0815_trimmed.result,CL176_trimmed.result,CL183_trimmed.result,CL187_NS_Run18_0815_trimmed.result,CL191_trimmed.result,CL196_NS_Run18_0815_trimmed.result,CL203_NS_Run18_0815_trimmed.result,CL213_trimmed.result,CL214_NS_Run18_0815_trimmed.result,CL219_NS_Run18_0815_trimmed.result,CL228_trimmed.result,CL236_trimmed.result,CL240_NS_Run18_0815_trimmed.result,CL244_trimmed.result,CL253_trimmed.result,CL41_NS_Run18_0815_trimmed.result,CL50_NS_Run18_0815_trimmed.result,CL53_NS_Run18_0815_trimmed.result,CL56_NS_Run18_0815_trimmed.result,CL85_NS_Run18_0815_trimmed.result,Female-Ctrl_NS_Run18_0815_trimmed.result,Male-Ctrl_NS_Run18_0815_trimmed.result
novelMiR_70_1,0,0,0,0,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
novelMiR_39-1,0,972,904,0,2086,1050,648,0,0,50,0,184,0,294,1004,630,1004,0,96,0,1450,200,0,1198,0,1646,2310,1032,1358,0
novelMiR_27_1-9,5,46,126,26,71,44,25,0,42,0,0,10,0,8,59,0,76,0,6,0,114,6,0,51,23,52,103,30,63,16
novelMiR_75_1,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_76_1,0,39,0,0,66,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,51,0,0,61,0,0,0,0,85,0
novelMiR_27-4,28,232,300,186,176,370,160,0,218,0,0,90,0,88,292,150,240,26,18,0,316,54,0,290,180,230,428,114,766,416
novelMiR_42-1,167,633,686,332,784,171,526,63,355,48,0,188,19,373,0,0,582,107,128,0,587,0,29,764,988,996,692,302,0,0
novelMiR_10-3,5628,11776,17924,5762,18720,7048,8710,216,6868,130,76,1760,130,5930,15824,8852,6826,1378,2082,0,5582,1036,18,6536,9706,7648,6450,3356,6188,4420
novelMiR_75_1-24,0,0,0,8,6,0,0,0,8,0,0,0,0,0,7,0,9,0,0,0,0,0,0,7,5,0,10,0,14,0
novelMiR_83_1,0,7,10,0,8,19,0,0,0,0,0,0,0,0,9,0,6,0,0,0,9,0,0,0,0,0,0,10,0,0
novelMiR_86_1,0,0,24,32,18,46,30,0,0,0,0,0,0,26,0,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0
novelMiR_88_1,0,55,80,56,71,51,66,0,16,9,0,0,0,38,0,0,80,22,0,0,41,0,0,95,0,90,72,37,29,0
novelMiR_89_1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
