,CL105_NS_Run18_0815,CL146_NS_Run18_0815,CL152_NS_Run18_0815,CL154_NS_Run18_0815,CL156_NS_Run18_0815,CL162_NS_Run18_0815,CL164_NS_Run18_0815,CL167,CL172_NS_Run18_0815,CL176,CL183,CL187_NS_Run18_0815,CL191,CL196_NS_Run18_0815,CL203_NS_Run18_0815,CL213,CL214_NS_Run18_0815,CL219_NS_Run18_0815,CL228,CL236,CL240_NS_Run18_0815,CL244,CL253,CL41_NS_Run18_0815,CL50_NS_Run18_0815,CL53_NS_Run18_0815,CL56_NS_Run18_0815,CL85_NS_Run18_0815,Female-Ctrl_NS_Run18_0815,Male-Ctrl_NS_Run18_0815
hsa-mir-210,132,116,300,136,164,140,72,10,168,12,11,34,0,65,171,22,198,29,51,0,157,12,0,111,85,202,110,75,169,60
hsa-mir-192,5049,14599,12148,6842,7494,12682,7592,763,8149,470,272,4060,308,3688,11571,3871,26598,1367,1539,6,11558,1323,24,10349,7351,16838,14898,3830,8555,4360
hsa-mir-192*,5049,14599,12148,6842,7494,12682,7592,763,8149,470,272,4060,308,3688,11571,3871,26598,1367,1539,6,11558,1323,24,10349,7351,16838,14898,3830,8555,4360
hsa-mir-1291,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0
hsa-mir-616,0,36,34,0,29,68,21,0,16,0,0,11,0,0,64,29,41,0,0,0,54,0,0,54,36,47,54,11,46,16
hsa-mir-26a-2,81559,473741,412660,228624,413368,442666,353885,14722,229835,29723,33778,62888,14927,77559,770566,133279,608077,17601,50498,481,441604,96536,1731,551998,364560,472785,847139,160962,370072,194632
hsa-mir-618,0,6,16,22,9,0,0,0,0,0,0,0,0,10,15,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-3613,108,31,20,92,391,29,135,21,142,6,25,88,0,74,0,6,248,90,36,0,0,13,0,71,155,166,0,39,51,7
hsa-mir-16-1,33003,44775,90448,72431,279826,175853,116202,10496,139622,7298,8074,34143,5475,22758,203560,67665,262008,15009,27903,14,149534,25357,430,193050,100417,172745,330159,71826,204051,55348
hsa-mir-15a,2856,860,633,3928,24985,15246,10037,1309,13980,781,855,5790,441,2760,22407,4939,19807,3691,3440,0,14557,1617,87,28819,6503,16870,42135,5557,22436,4246
hsa-mir-151b,966,12126,377,7771,52,2717,234,18,7195,320,240,902,155,6056,17009,2969,3173,727,3767,0,136,234,31,8996,215,2024,4947,15,19763,11797
hsa-mir-3942,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
hsa-mir-627,0,14,13,0,17,0,6,0,0,0,0,0,0,0,0,0,21,0,0,0,22,0,0,14,13,26,17,0,0,6
hsa-mir-628,26,43,54,77,39,26,22,0,80,0,0,16,0,5,48,51,46,0,6,0,35,5,0,47,30,46,57,14,76,41
hsa-mir-2116,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-629,41,27,172,35,105,36,42,7,68,0,0,24,0,46,60,33,109,0,10,0,23,16,0,45,95,150,97,44,135,66
